"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Fairlife","Boardwalk Frozen Treats","ETFZ-1000-6009","992455005822","","Each","Fairlife Caramel Toffee Crunch Ice Cream, 14 oz. Container (1-8 Case)","Fairlife Caramel Toffee Crunch Ice Cream, 14 oz. Container (1-8 Case)","5.5","14.25","7.5","4.06","Fairlife Caramel Toffee Crunch Ice Cream",", 14 oz. Container (1-8 Case)"
"Frozen","Fairlife","Boardwalk Frozen Treats","ETFZ-1000-6011","992455005839","","Each","Fairlife Dark Cherry Chunk Ice Cream, 14 oz. Container (1-8 Case)","Fairlife Dark Cherry Chunk Ice Cream, 14 oz. Container (1-8 Case)","5.5","14.25","7.5","4.06","Fairlife Dark Cherry Chunk Ice Cream, 14"," oz. Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6012","992455005853","","Each","Godiva Caramel Embrace Ice Cream, 14 oz. Container (1-8 Case)","Godiva Caramel Embrace Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Caramel Embrace Ice Cream, 14 oz."," Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6013","992455005877","","Each","Godiva Chocolate Strawberry Ice Cream, 14 oz. Container (1-8 Case)","Godiva Chocolate Strawberry Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Chocolate Strawberry Ice Cream, 1","4 oz. Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6014","992455005884","","Each","Godiva Hazelnut Crunch Ice Cream, 14 oz. Container (1-8 Case)","Godiva Hazelnut Crunch Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Hazelnut Crunch Ice Cream, 14 oz."," Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6015","992455005846","","Each","Godiva Midnight Swirl Ice Cream, 14 oz. Container (1-8 Case)","Godiva Midnight Swirl Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Midnight Swirl Ice Cream, 14 oz. ","Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6016","992455005860","","Each","Godiva Mint Medallion Ice Cream, 14 oz. Container (1-8 Case)","Godiva Mint Medallion Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Mint Medallion Ice Cream, 14 oz. ","Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6017","992455005907","","Each","Godiva Praline Cone Crunch Ice Cream, 14 oz. Container (1-8 Case)","Godiva Praline Cone Crunch Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Praline Cone Crunch Ice Cream, 14"," oz. Container (1-8 Case)"
"Frozen","Godiva","Boardwalk Frozen Treats","ETFZ-1000-6018","992455005891","","Each","Godiva Salted Caramel Brownie Ice Cream, 14 oz. Container (1-8 Case)","Godiva Salted Caramel Brownie Ice Cream, 14 oz. Container (1-8 Case)","5.8","14.25","7.5","4.06","Godiva Salted Caramel Brownie Ice Cream,"," 14 oz. Container (1-8 Case)"
